image,query_default,query_alt1,query_alt2,target
test/images/mexico-earthquake_00000063_pre_disaster.tif,post earthquake,earthquake damaged area,seismic damage,test/images/mexico-earthquake_00000063_post_disaster.tif
test/images/mexico-earthquake_00000076_pre_disaster.tif,post earthquake,earthquake damaged area,seismic damage,test/images/mexico-earthquake_00000076_post_disaster.tif
test/images/mexico-earthquake_00000180_pre_disaster.tif,post earthquake,earthquake damaged area,seismic damage,test/images/mexico-earthquake_00000180_post_disaster.tif
test/images/mexico-earthquake_00000183_pre_disaster.tif,post earthquake,earthquake damaged area,seismic damage,test/images/mexico-earthquake_00000183_post_disaster.tif
test/images/mexico-earthquake_00000187_pre_disaster.tif,post earthquake,earthquake damaged area,seismic damage,test/images/mexico-earthquake_00000187_post_disaster.tif
test/images/santa-rosa-wildfire_00000021_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000021_post_disaster.tif
test/images/santa-rosa-wildfire_00000028_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000028_post_disaster.tif
test/images/santa-rosa-wildfire_00000038_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000038_post_disaster.tif
test/images/santa-rosa-wildfire_00000089_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000089_post_disaster.tif
test/images/santa-rosa-wildfire_00000099_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000099_post_disaster.tif
test/images/santa-rosa-wildfire_00000133_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000133_post_disaster.tif
test/images/santa-rosa-wildfire_00000257_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000257_post_disaster.tif
test/images/santa-rosa-wildfire_00000269_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000269_post_disaster.tif
test/images/santa-rosa-wildfire_00000289_pre_disaster.tif,post fire,burned area,fire-affected region,test/images/santa-rosa-wildfire_00000289_post_disaster.tif
